,en,fr,prec,rec
91,"she goes to the movies once a week .
","彼女 は 毎週 １ 回 映画 を 見 に 行 く 。
",0.36363636363636365,0.4444444444444444
92,"he is fine and gentle .
","彼 は とって も やさし い よ 。
",0.375,0.5
93,"i am almost 180 centimeters tall .
","私 は ほとんど １８０ センチ で す 。
",0.25,0.2857142857142857
94,"he resembles his mother .
","彼 は 母親 に 似 て い る 。
",0.42857142857142855,0.6
95,"tokyo is by far the largest city in japan .
","東京 は だんぜん 日本 で 一番 大き い 都市 で す 。
",0.3,0.3
96,"if you wish to get on in the world , you must not shrink from effort .
","出世 し た い の なら 、 努力 を おそれ て は な ら な い 。
",0.4166666666666667,0.29411764705882354
97,"&quot; it &apos;s still shallow , eh . my feet still touch the bottom . &quot; &quot; it &apos;s quite a shallow beach . yotsuba , you can still touch the bottom can &apos;t you ? &quot;
","「 まだ 浅 い ね 。 足 とど く 」 「 結構 遠浅 だ な 。 よ つば も まだ 足 つ く だ ろ 」
",0.35,0.1891891891891892
98,"my grandfather hopes that i will enter college .
","私 の お じい ちゃん は 私 が 大学 に 行 く こと を 望 ん で い る 。
",0.16666666666666666,0.2222222222222222
99,"it &apos;s easy to lose track of time when you are in las vegas .
","ラスベガス が い る と 時間 が 経 つ の を 忘れ る 。
",0.1,0.06666666666666667
100,"he glared at me fiercely .
","彼 は 非常 な 剣幕 で 私 を にらみ付け た 。
",0.25,0.3333333333333333
101,"a fence between makes love more keen .
","間 の 垣根 が 恋 を いっそう 燃え立 た せ る 。
",0.1111111111111111,0.125
102,"caroline knows better than to spend all her money on clothes .
","キャロライン は すべて の お 金 を 洋服 に 使 う ほど 愚か で は な い 。
",0.14285714285714285,0.16666666666666666
103,"he has just been appointed the u.s. ambassador to japan .
","彼 は 駐日 アメリカ 大使 に 命 じ られ た ばかり で す 。
",0.3,0.2727272727272727
104,"she married to the kind of man you would expect her to pick .
","彼女 なら 当然 選 び そう な 人 と 彼女 は 結婚 し た 。
",0.36363636363636365,0.2857142857142857
105,"i met my friend on the street .
","昨日 通り で 友人 に 会 っ た 。
",0.375,0.375
106,"liquor will have an effect on a person .
","お 酒 を 飲 む と 影響 が 出 る もの だ 。
",0.18181818181818182,0.2222222222222222
107,"i believe in you .
","君 を 信頼 し て い る 。
",0.3333333333333333,0.4
108,"our train went at 200 kilometers an hour .
","我々 の 列車 は 時速 ２００ キロ で 走 っ た 。
",0.2222222222222222,0.2222222222222222
109,"we are crying .
","私 たち は 泣 い て い る の 。
",0.5,0.75
110,"she caught her breath .
","彼女 は 息 を 飲 ん だ 。
",0.5,0.6
111,"you must not smoke till you grow up .
","君 たち は 大人 に な る まで タバコ を 吸 っ て は いけ な い 。
",0.4444444444444444,0.4444444444444444
112,"he tapered off to one cigarette a day .
","彼 は たばこ を 一 日 一 本 に 減ら し て い っ た 。
",0.2222222222222222,0.2222222222222222
113,"your daughter &apos;s on drugs .
","貴殿 の 娘 さん は 麻薬 漬け で す 。
",0.1111111111111111,0.16666666666666666
114,"let &apos;s put her in charge of that .
","彼女 を その 任務 に 就け よう 。
",0.1111111111111111,0.1111111111111111
115,"a travel agent arranged everything for our trip .
","ある 旅行 会社 が 我々 の 旅行 の 手配 を 全部 し て くれ た 。
",0.14285714285714285,0.2222222222222222
116,"she may well be proud of her son .
","彼女 が 息子 を 自慢 する の も もっとも だ 。
",0.3,0.3333333333333333
117,"the pain shoots into my right leg .
","痛み が 右脚 に 走 り ま す 。
",0.14285714285714285,0.125
118,"the list of participants is as follows .
","参加 者 の リスト は 次 の とおり で す 。
",0.3333333333333333,0.375
119,"she will often go shopping on holidays .
","彼女 は 休日 に な る と よく 買い物 に 行 き ま す 。
",0.36363636363636365,0.5
120,"i spent all yesterday afternoon cleaning my room .
","昨日 の 午後 は ずっと 、 私 の 部屋 を 掃除 する の に 費や し た 。
",0.13333333333333333,0.2222222222222222
121,"something is always going wrong with the machine .
","その 機械 は いつ も どこ か 故障 ばかり し て い る 。
",0.5,0.4444444444444444
122,"please check if the meat is being roasted at the right heat .
","焼き肉 の 火 加減 を 見 なさ い 。
",0.1111111111111111,0.07692307692307693
123,"i asked her to marry me and she accepted .
","彼女 に 結婚 し て くれ な い か と 言 っ たら 彼女 は 承知 し て くれ た 。
",0.26666666666666666,0.4
124,"would you be kind enough to tell me the truth ?
","本当 の こと を おっしゃ っ て いただけ ま せ ん か 。
",0.2857142857142857,0.18181818181818182
125,"his father breathed his last this morning .
","彼 の 父 は 今朝 息 を 引き取 り ま し た 。
",0.5,0.5
126,"she tried to commit suicide .
","彼女 は 自殺 を し よう と し た 。
",0.2857142857142857,0.3333333333333333
127,"he lost his way in the woods .
","彼 は 森 で 迷 っ た 。
",0.5714285714285714,0.5
128,"if my wife calls , just tell her i &apos;m in an important meeting and cannot be disturbed .
","妻 が 電話 し て き た ら 、 私 は 重要 な 会議 中 で 出 られ な い と 言 っ て くださ い 。
",0.15,0.15789473684210525
129,"we often eat foods which are harmful to our health without knowing it .
","私 たち は 健康 に 有害 な 食品 を 知 ら ず に 食べ て い る 事 が よく あ る 。
",0.2,0.14285714285714285
130,"i don &apos;t know how to cook too many things .
","料理 の レパートリー は 限 ら れ て る の 。
",0.125,0.09090909090909091
131,"what heading does this book come under ?
","この 本 は 何 の 項目 に 入 り ま す か 。
",0.3333333333333333,0.375
132,"he finally made up his mind to marry the girl he had met in paris .
","彼 は パリ 出会 っ た 女性 と 結婚 する 決心 を し た 。
",0.36363636363636365,0.25
133,"he bothered her with questions .
","彼 は 彼女 に うるさ く 質問 し て 困 ら せ た 。
",0.3,0.5
134,"can you direct me to the nearest subway station ?
","最寄り の 地下 鉄 へ 行 く 道 を 教え て くれ ま せ ん か 。
",0.4166666666666667,0.5
135,"after all is said and done , he was a first @-@ rate novelist .
","彼 は 結局 は 一流 の 小説 家 で あ っ た 。
",0.36363636363636365,0.26666666666666666
136,"drivers must observe the traffic rules .
","運転 者 は 交通 規則 を 守 ら ね ば な ら な い 。
",0.2222222222222222,0.2857142857142857
137,"he is not so much a politician as a merchant .
","彼 は 政治 家 と い う より も むしろ 商人 だ 。
",0.45454545454545453,0.45454545454545453
138,"he acceded to my proposal .
","彼 は 私 の 提案 に 同意 し た 。
",0.2857142857142857,0.3333333333333333
139,"don &apos;t press your opinion on me .
","自分 の 考え を 僕 に 押しつけ る な 。
",0.375,0.375
140,"he played tennis .
","彼 は テニス を し た 。
",0.3333333333333333,0.5
141,"back into the hole where i was born .
","薄汚 い 生まれ た 故郷 の 街 に 戻 っ て き た 。
",0.3333333333333333,0.4444444444444444
142,"the car ran into a guardrail .
","車 は ガードレール に 衝突 し た 。
",0.25,0.2857142857142857
143,"there are enough accidents without asking for one .
","注意 し て い て も 事故 は いろいろ 起き て い ま す から ね 。
",0.07142857142857142,0.1111111111111111
144,"neither of his students passed the exam .
","彼 の 教え子 の 中 で その 試験 に 合格 し た 者 は い な かっ た 。
",0.25,0.375
145,"my tape recorder is compatible with your amplifier .
","私 の テープ レコーダー は 君 の アンプ に も つなげ られ る 。
",0.18181818181818182,0.2222222222222222
146,"he was injured in a railway accident .
","彼 は 列車 事故 で けが を し た 。
",0.4444444444444444,0.5
147,"the batter struck out swinging .
","バッター は 空振り の 三振 を し た 。
",0.2222222222222222,0.3333333333333333
148,"death is certain to all , all shall die .
","死 は 万 人 に 来る べ き もの 、 すべて 人 は 死 す べ き もの な り 。
",0.3076923076923077,0.4
149,"i really enjoyed myself tonight .
","今日 は 楽し かっ た 。
",0.2857142857142857,0.3333333333333333
150,"i had written the letter when he came .
","彼 が 来 た とき は 私 は その 手紙 を 書 き 終え て い た 。
",0.18181818181818182,0.2222222222222222
151,"then , at last , the policeman lowered his arm .
","そして 、 ようやく その 警官 は 腕 を 下げ た 。
",0.18181818181818182,0.18181818181818182
152,"we kept on working for hours without eating anything .
","我々 は 何 も 食べ ず に 何 時間 も 働 き 続け た 。
",0.2222222222222222,0.2
153,"we talked over our problems .
","私 達 は 、 自ら の 問題 に つ い て 話し合 っ た 。
",0.2222222222222222,0.3333333333333333
154,"we had a very vigorous debate .
","私 たち は とても 活発 な 討論 を し た 。
",0.375,0.42857142857142855
155,"i prefer spring to fall .
","秋 より 春 の ほう が 好き だ 。
",0.375,0.5
156,"it is too far to go on foot from here to the hotel . better take a taxi .
","ここ から ホテル まで 徒歩 で 行 く に は 遠 すぎ ま す 。 タクシー に お 乗 り なさ い 。
",0.3333333333333333,0.2631578947368421
157,"everyone always speaks well of tony .
","みんな いつ も トニー を ほめ る 。
",0.14285714285714285,0.14285714285714285
158,"all of these abilities are passed on to us by genetic transmission ; we receive them by way of the genes that we inherit from our parents .
","後者 の 能力 は すべて 遺伝 に よ っ て 私 達 に 伝え られ る 。 つまり 、 親 から 受け つ ぐ 遺伝 子 を 通 し て 私 たち は そう し た 能力 を 受け取 る の で あ る 。
",0.1,0.07142857142857142
159,"in other words , i don &apos;t like to work with him .
","言い換え れ ば 、 私 は 彼 と 働 き た く な い 。
",0.36363636363636365,0.3076923076923077
160,"mike managed to carry the suitcase by himself .
","マイク は なん と か その スーツケース を 一人 で 運 ん だ 。
",0.2,0.2222222222222222
161,"we need the receipt mr smith signed .
","私 たち は スミス さん が サイン し た 領収 書 が 必要 で す 。
",0.25,0.375
162,"they invited me to play cards .
","彼 等 は トランプ を し な い か と 私 を 誘 っ て くれ た 。
",0.25,0.42857142857142855
163,"the sort of information we need is not always available .
","私 たち が 必要 と する 情報 は 必ず しも 手 に 入 ら な い 。
",0.18181818181818182,0.18181818181818182
164,"i helped an old lady across .
","老 婦人 が 渡 る の を 助け た 。
",0.2857142857142857,0.2857142857142857
165,"somehow , all those reasons sound rather far fetched .
","何 か 、 全部 、 こじつけ って 感じ が する ん だ けど ・ ・ ・ 。
",0.15384615384615385,0.2
166,"i entrusted my property to him .
","彼 に 財産 管理 を 任せ た 。
",0.2857142857142857,0.2857142857142857
167,"we must take into account the wishes of all the family in planning a trip .
","旅行 を 計画 する 場合 は 、 家族 全員 の 希望 を 考慮 す べ き だ 。
",0.17647058823529413,0.1875
168,"he dropped out when he was in the 7th grade .
","彼 は 中一 の 時 学校 に 来 な く な っ た 。
",0.3333333333333333,0.2727272727272727
169,"christmas is a good time to market new toys .
","クリスマス は 新し い おもちゃ を うりだ す い い 機会 だ 。
",0.3333333333333333,0.3
170,"i have been writing letters all morning .
","私 は 午前 中 ずっと 手紙 を 書 い て い ま し た 。
",0.2222222222222222,0.25
171,"the hotel is at the foot of a mountain .
","その ホテル は 山 の ふもと に あ り ま す 。
",0.4444444444444444,0.4
172,"i &apos;m putting up with him tomorrow .
","明日 は 彼 の ところ に 泊ま る つもり だ 。
",0.3333333333333333,0.375
173,"twenty @-@ five years from now there will be one retired person for each two working .
","今 から ２５ 年 後 に は 、 就業 者 ２人 に つ き 退職 者 １人 の 割合 に な る だ ろ う 。
",0.21428571428571427,0.17647058823529413
174,"she seems to have been happy .
","彼女 は 幸せ で あ っ た よう だ 。
",0.25,0.2857142857142857
175,"the main crop of japan is rice .
","日本 の 主要 作物 は 米 で あ る 。
",0.3333333333333333,0.375
176,"everyone , whether an actual or potential patient .
","患者 と 名 の つく すべて の 人 。
",0.1111111111111111,0.1111111111111111
177,"who am i ?
","私 は 誰 な の だ ろ う か 。
",0.4,0.5
178,"i &apos;ll be waiting for you at the usual place .
","いつ も の 場所 で 待 っ て い ま す 。
",0.25,0.18181818181818182
179,"the village is connected with our town by a bridge .
","その 村 と 我々 の 町 は 橋 で つなが っ て い ま す 。
",0.3,0.2727272727272727
180,"warning - 18 + only .
","十 八 禁 な の で 要 注意 ！
",0.14285714285714285,0.16666666666666666
181,"i am leaving for the united states tomorrow .
","私 は 明日 アメリカ へ 出発 する 予定 で す 。
",0.2,0.2222222222222222
182,"greek is difficult to learn .
","ギリシャ 語 は 覚え にく い 。
",0.125,0.16666666666666666
183,"i would like to go to austria in order to study music .
","私 は 音楽 の 勉強 に オーストリア へ 行 き た い 。
",0.5555555555555556,0.38461538461538464
184,"i received my bonus .
","ボーナス を もら っ た 。
",0.2857142857142857,0.4
185,"i like the way she laughs at my jokes .
","私 は 私 の ジョーク を 聞 い て 笑 う 時 の 彼女 が 好き だ 。
",0.4,0.4
186,"i heard my name called from behind me .
","自分 の 名前 が 後ろ から 呼 ば れ る の が きこえ た 。
",0.18181818181818182,0.2222222222222222
187,"she has an eye for the beautiful .
","彼女 は 審美 眼 を 持 っ て い る 。
",0.42857142857142855,0.375
188,"the big ugly tree destroys the beauty of the house .
","その 大きな 醜 い 木 が その 家 の 美観 を 損ね て い る 。
",0.3333333333333333,0.36363636363636365
189,"she fell ill a week ago .
","彼女 は １ 週間 前 に 病気 に な っ た 。
",0.2727272727272727,0.42857142857142855
190,"he is a frank person and easy to talk to .
","彼 は ざっくばらん な 人柄 な の で 話 し やす い 。
",0.4,0.36363636363636365
191,"the garden is railed off from the path .
","庭 は 柵 で 小道 と 仕切 ら れ て い る 。
",0.3,0.3333333333333333
192,"i would like your picture .
","君 の 写真 が 欲し い の で す が 。
",0.375,0.5
193,"he has every reason to quit his job .
","彼 が 仕事 を 辞め る の も もっとも だ 。
",0.4,0.4444444444444444
194,"put the book where you found it .
","その 本 を もと あ っ た 所 へ 置 き なさ い 。
",0.3,0.375
195,"i never see this picture without being reminded of my childhood .
","この 写真 を 見 る と 、 私 は 必ず 子供 の ころ を 思い出 す 。
",0.2,0.25
196,"is this the right way to yokohama station ?
","横浜 駅 へ 行 く の に は この 道 で い い の で す か 。
",0.3,0.3333333333333333
197,"he fell and broke his arm while he was skiing .
","彼 は スキー を し て い る とき に 、 転 ん で 腕 を 折 っ た 。
",0.25,0.2727272727272727
198,"she gave me a look at her new car .
","彼女 は 新車 を 見せ て くれ た 。
",0.5714285714285714,0.4
199,"i &apos;d like to have mustard on the side .
","マスタード を 別 に 持 っ て き て くださ い 。
",0.125,0.1
200,"come what may , i &apos;m ready for it .
","何 が 起こ ろ う と も 、 その 覚悟 は でき て い ま す 。
",0.18181818181818182,0.2
201,"he has been in hokkaido before .
","彼 は 北海道 に い た こと が あ る 。
",0.3333333333333333,0.2857142857142857
202,"his face and attitude showed the scorn he felt .
","彼 の 顔つき や 態度 に は 軽蔑 の 気持ち が 表れ て い た 。
",0.2,0.2
203,"except for bill , they were all in time .
","ビル 以外 は みな 間に合 っ た 。
",0.125,0.1
204,"parents are usually concerned about their children &apos;s future .
","たいてい の 親 は 自分 の 子供 の 将来 が 気 に な る もの で す 。
",0.09090909090909091,0.1
205,"you know i can &apos;t .
","そんな 事 でき な い の あなた 知 っ て で しょ う 。
",0.4444444444444444,0.6666666666666666
206,"one day , the police raided a whole group of prostitutes , and the girl was among them .
","ある 日 の こと 、 警察 が 娼婦 の 集団 を 手入れ し た 。 少女 も その 集団 の 一員 だっ た 。
",0.15,0.15789473684210525
207,"where do you come from ?
","どちら の ご 出身 で す か ？
",0.42857142857142855,0.5
208,"that altered the aspect of the case .
","それ で 形勢 が 変わ っ た 。
",0.125,0.125
209,"i &apos;ve got a bit of an ache in my back .
","私 は 背中 が 少し 痛 い 。
",0.42857142857142855,0.25
210,"my father &apos;s success counts for nothing to me .
","父 の 成功 は 私 に 何 の 価値 も 無 い 。
",0.4444444444444444,0.4
211,"i have a picture of an airport .
","私 は 空港 の 写真 を 持 っ て い ま す 。
",0.5,0.5
212,"what do you intend to do ?
","君 は 何 を する つもり な の 。
",0.2857142857142857,0.2857142857142857
213,"this is as long as that .
","これ と あれ は 同じ 長 さ で す 。
",0.375,0.42857142857142855
214,"i read fifty pages further .
","私 は 更 に ５０ ページ 読 ん だ 。
",0.25,0.3333333333333333
215,"his misspelling of that word eliminated him from the contest .
","その 語 の 綴り を 間違 っ て 、 彼 は コンテスト に 失格 し た 。
",0.23076923076923078,0.2727272727272727
216,"math is the last subject that i want to study .
","数学 は 私 が 最も 勉強 し た く な い 教科 で す 。
",0.3333333333333333,0.36363636363636365
217,"he has acted wisely .
","彼 は 賢明 に 行動 し た 。
",0.2857142857142857,0.4
218,"i want to surprise him .
","私 は 彼 を あっ と 言 わ せ て や り た い 。
",0.3,0.5
219,"you shouldn &apos;t eat anything cold .
","冷た い 食事 は 、 避け て くださ い 。
",0.125,0.14285714285714285
220,"he couldn &apos;t help laughing at it .
","彼 は それ を 笑 わ ず に い られ な かっ た 。
",0.25,0.25
221,"quit lazing around and get moving !
","グズグズ し て な い で さっさと 行動 しろ ！
",0.0,0.0
