,fr,en,hypo,No_att_hypo,prec_diff,prec,No_att_prec,rec_diff,rec,No_att_rec,pplx_diff,pplx,No_att_pplx
67,彼 は 山 の 頂上 に 立 っ て い ま し た 。,he was standing at the top of the mountain .,he was his his . . _EOS,he was his the the . . _EOS,-0.19642857142857145,0.42857142857142855,0.625,-0.2,0.3,0.5,0.16676347775524647,28.314852141518784,28.148088663763538
70,その 質問 は 難し すぎ て 答え られ な かっ た 。,the question was too difficult to answer .,the was was &apos;t the the the . . _EOS,the was was not to to to . . _EOS,-0.10000000000000003,0.3,0.4,-0.125,0.375,0.5,1.6109108575176947,21.735132673915807,20.124221816398112
71,彼女 は 教師 の よう に 見え る 。,she looks like a teacher .,she is her her . . _EOS,she is a in . . _EOS,-0.14285714285714285,0.2857142857142857,0.42857142857142855,-0.16666666666666669,0.3333333333333333,0.5,-1.1695865713527809,14.695632219216531,15.865218790569312
78,ワイン を もっと 冷や し た い 。,i want to chill the wine more .,i _UNK a _UNK on . . _EOS,i want to to to the the . . _EOS,-0.25,0.25,0.5,-0.375,0.25,0.625,3.0558818107878505,16.84188556452737,13.78600375373952
80,夕方 から 雨 だ って い っ て い た よ 。,it said rain from this evening .,"i &apos;s the , the . . . _EOS",it was was a a . . _EOS,-0.1388888888888889,0.1111111111111111,0.25,-0.14285714285714285,0.14285714285714285,0.2857142857142857,-0.6165490965569376,38.57634627131708,39.192895367874016
87,私 は ここ に とどま る べ き か ロンドン へ 行 く べ き か 分か ら な かっ た 。,i didn &apos;t know whether to stay here or go to london .,i had to to to to to to to . . . . _EOS,i had &apos;t go to to to to to . . _EOS,-0.2142857142857143,0.2857142857142857,0.5,-0.1538461538461539,0.3076923076923077,0.4615384615384616,4.6274284621697515,19.882653660359303,15.255225198189551
114,彼女 を その 任務 に 就け よう 。,let &apos;s put her in charge of that .,she _UNK the the the the . . _EOS,i &apos;m her to the her . . _EOS,-0.1111111111111111,0.1111111111111111,0.2222222222222222,-0.1111111111111111,0.1111111111111111,0.2222222222222222,-13.125802200155274,18.98694022470467,32.112742424859945
122,焼き肉 の 火 加減 を 見 なさ い 。,please check if the meat is being roasted at the right heat .,_UNK _UNK _UNK _UNK _UNK _UNK . . _EOS,the _UNK _UNK _UNK the _UNK _UNK . . _EOS,-0.18888888888888888,0.1111111111111111,0.3,-0.15384615384615388,0.07692307692307693,0.2307692307692308,-7.13965052447513,82.80116130440531,89.94081182888044
124,本当 の こと を おっしゃ っ て いただけ ま せ ん か 。,would you be kind enough to tell me the truth ?,can you you you ? ? _EOS,can you you me me the the the ? _EOS,-0.11428571428571432,0.2857142857142857,0.4,-0.18181818181818185,0.18181818181818185,0.3636363636363637,31.637270369705874,66.64380433666504,35.00653396695917
136,運転 者 は 交通 規則 を 守 ら ね ば な ら な い 。,drivers must observe the traffic rules .,you must not _UNK to . . . _EOS,the must have the the the the . _EOS,-0.1111111111111111,0.2222222222222222,0.3333333333333333,-0.14285714285714285,0.2857142857142857,0.42857142857142855,-1.4671341615872855,31.893276270959863,33.36041043254715
138,彼 は 私 の 提案 に 同意 し た 。,he acceded to my proposal .,he went me me me . _EOS,he _UNK me to me . _EOS,-0.14285714285714285,0.2857142857142857,0.42857142857142855,-0.16666666666666669,0.3333333333333333,0.5,1.7172529041736855,9.160984188049664,7.443731283875978
145,私 の テープ レコーダー は 君 の アンプ に も つなげ られ る 。,my tape recorder is compatible with your amplifier .,_UNK is _UNK _UNK _UNK _UNK _UNK _UNK . . _EOS,my _UNK is _UNK _UNK _UNK _UNK . . _EOS,-0.11818181818181814,0.18181818181818185,0.3,-0.1111111111111111,0.2222222222222222,0.3333333333333333,1.3645384310745046,7.5259102363863875,6.161371805311883
157,みんな いつ も トニー を ほめ る 。,everyone always speaks well of tony .,i can _UNK _UNK . . _EOS,i will always a a . . _EOS,-0.10714285714285715,0.14285714285714285,0.25,-0.14285714285714285,0.14285714285714285,0.2857142857142857,-3.9918460806311984,45.98632069769419,49.97816677832539
160,マイク は なん と か その スーツケース を 一人 で 運 ん だ 。,mike managed to carry the suitcase by himself .,the is the the the the the . . _EOS,the _UNK _UNK the _UNK to the . _EOS,-0.1333333333333333,0.2,0.3333333333333333,-0.1111111111111111,0.2222222222222222,0.3333333333333333,-11.387478079219463,37.70040883449188,49.087886913711344
169,クリスマス は 新し い おもちゃ を うりだ す い い 機会 だ 。,christmas is a good time to market new toys .,i &apos;s a a new new a . _EOS,i like to to a good new a . _EOS,-0.16666666666666669,0.3333333333333333,0.5,-0.2,0.3,0.5,-6.357919613726153,25.644458091276718,32.00237770500287
172,明日 は 彼 の ところ に 泊ま る つもり だ 。,i &apos;m putting up with him tomorrow .,i will to him him his . . _EOS,i &apos;m him his to in . . _EOS,-0.1111111111111111,0.3333333333333333,0.4444444444444444,-0.125,0.375,0.5,4.480839489646275,20.01636637156618,15.535526881919903
182,ギリシャ 語 は 覚え にく い 。,greek is difficult to learn .,i are a _UNK . . . _EOS,that is is very . . _EOS,-0.1607142857142857,0.125,0.2857142857142857,-0.16666666666666666,0.16666666666666666,0.3333333333333333,17.655617794108963,61.677448016136154,44.02183022202719
199,マスタード を 別 に 持 っ て き て くださ い 。,i &apos;d like to have mustard on the side .,please me me me a . . _EOS,please your your to the the . . _EOS,-0.20833333333333331,0.125,0.3333333333333333,-0.19999999999999998,0.1,0.3,17.719737045643534,49.964761055468976,32.24502400982544
201,彼 は 北海道 に い た こと が あ る 。,he has been in hokkaido before .,he is a . . _EOS,he has a in . . _EOS,-0.23809523809523808,0.3333333333333333,0.5714285714285714,-0.2857142857142857,0.2857142857142857,0.5714285714285714,10.343189376389557,26.80950176065783,16.466312384268274
206,ある 日 の こと 、 警察 が 娼婦 の 集団 を 手入れ し た 。 少女 も その 集団 の 一員 だっ た 。,"one day , the police raided a whole group of prostitutes , and the girl was among them .",_UNK _UNK _UNK the _UNK _UNK _UNK _UNK _UNK the _UNK _UNK the _UNK the _UNK the _UNK . .,"the _UNK , _UNK , the , the _UNK of _UNK _UNK _UNK the _UNK . . . _EOS",-0.16578947368421051,0.15,0.3157894736842105,-0.15789473684210525,0.15789473684210525,0.3157894736842105,-0.937202032731129,33.045913446638224,33.98311547936935
218,私 は 彼 を あっ と 言 わ せ て や り た い 。,i want to surprise him .,i had to to to to to . . _EOS,i want him him him to . . _EOS,-0.2555555555555556,0.3,0.5555555555555556,-0.33333333333333337,0.5,0.8333333333333334,5.341849148137989,21.728967402163143,16.387118254025154
223,やっと 帰 っ て き た ぞ ！,"at last , we were home !",how you you _EOS,"i me , , , _EOS",-0.16666666666666666,0.0,0.16666666666666666,-0.14285714285714285,0.0,0.14285714285714285,33.728339164217864,87.19961291084543,53.47127374662757
226,ここ から 一番 近 い 薬局 は どこ で す か 。,where &apos;s the nearest pharmacy ?,how you you a _UNK _UNK ? _EOS,how &apos;s the _UNK a _UNK a ? ? a _EOS,-0.1477272727272727,0.125,0.2727272727272727,-0.33333333333333337,0.16666666666666666,0.5,-27.172454628126758,16.245041404968838,43.417496033095595
239,ちょっと 失礼 し て よ い で しょ う か 。,will you excuse me for just a moment ?,can you you the the ? ? ? _EOS,will i you you the ? ? ? _EOS,-0.1111111111111111,0.2222222222222222,0.3333333333333333,-0.1111111111111111,0.2222222222222222,0.3333333333333333,2.643494978068258,29.91957298233871,27.276078004270452
243,彼 は 米 文学 に 精通 し て い る 。,he is at home in american literature .,he is a _UNK _UNK _UNK . . _EOS,he is _UNK in in _UNK . . _EOS,-0.1111111111111111,0.3333333333333333,0.4444444444444444,-0.125,0.375,0.5,1.0515679144888423,22.87193855787863,21.820370643389786
247,君 は 僕 の こと を 言 っ て い る の か 。,are you referring to me ?,do you you you your ? _EOS,do you you me ? ? _EOS,-0.14285714285714285,0.2857142857142857,0.42857142857142855,-0.16666666666666669,0.3333333333333333,0.5,1.766459787153413,8.55464495688559,6.788185169732176
252,パティー は 利口 な 学生 だ 。,patty is a smart student .,_UNK is _UNK _UNK . . _EOS,_UNK is is a . . _EOS,-0.14285714285714285,0.2857142857142857,0.42857142857142855,-0.16666666666666669,0.3333333333333333,0.5,2.9248035093894362,13.515272374764033,10.590468865374596
277,都会 で は 泥棒 に 気 を つけ な さ い 。,beware of thefts in a big city .,the _UNK not in in . . _EOS,the are a in in . . _EOS,-0.125,0.25,0.375,-0.125,0.25,0.375,-0.4027398963024531,31.046113899797692,31.448853796100146
279,彼 は 、 家 まで ずっと 歩 い た 。,he walked all the way home .,he was a a he was . . _EOS,he was to to the . . _EOS,-0.1527777777777778,0.2222222222222222,0.375,-0.14285714285714285,0.2857142857142857,0.42857142857142855,4.966085447511128,15.344993990677024,10.378908543165895
290,何 か 他 に 僕 に し て 欲し い こと は な い で す か 。,is there anything else you want me to do ?,what you you you to to to _EOS,do you &apos;t you to to to ? _EOS,-0.19444444444444442,0.25,0.4444444444444444,-0.2,0.2,0.4,-8.116944158018157,23.04308997103973,31.160034129057887
295,レインボウ ブリッジ の 長 さ は どの くらい で す か 。,how long is the rainbow bridge ?,what is _UNK _UNK _UNK _UNK _UNK _EOS,how is _UNK _UNK _UNK _UNK _UNK ? ? ? _EOS,-0.1477272727272727,0.125,0.2727272727272727,-0.2857142857142857,0.14285714285714285,0.42857142857142855,-7.106764851852903,14.029753150387885,21.136518002240788
302,英語 を 勉強 し な けれ ば な ら な かっ た 。,you had to study english .,i had not _UNK _UNK . . . _EOS,i had &apos;t make to . . _EOS,-0.1527777777777778,0.2222222222222222,0.375,-0.16666666666666669,0.3333333333333333,0.5,-0.0011997847944833495,16.549596922974967,16.55079670776945
310,ジェーン は 私 たち の 決定 に 反対 し た 。,jane kicked at our decision .,the _UNK _UNK to on the . . _EOS,we were on our the . . _EOS,-0.1388888888888889,0.1111111111111111,0.25,-0.16666666666666666,0.16666666666666666,0.3333333333333333,82.83617940717421,124.5673125507364,41.73113314356219
322,気 が 散 る から テレビ を 消 し て く れ 。,turn off the television . i can &apos;t concentrate .,it _UNK a _UNK _UNK _UNK _UNK _UNK _UNK _UNK . . _EOS,i &apos;m the _UNK _UNK _UNK _UNK . . . _EOS,-0.20979020979020985,0.15384615384615385,0.3636363636363637,-0.2,0.2,0.4,5.159985283314789,43.26888689655915,38.10890161324436
327,彼 は 私 に お 世辞 を 言 っ た 。,he paid me a compliment .,he _UNK me me me . . _EOS,he _UNK me me a . . _EOS,-0.125,0.375,0.5,-0.16666666666666663,0.5,0.6666666666666666,0.10933487688741561,5.754263717875642,5.644928840988227
353,そこ に は 歩 い て 行 っ た 方 が い い よ 。,you &apos;d better go there on foot .,i want to to to to . . _EOS,you had &apos;t you to to . _EOS,-0.1388888888888889,0.1111111111111111,0.25,-0.125,0.125,0.25,0.28437843945071073,14.663338391891507,14.378959952440796
357,明日 集ま り ま しょ う 。,let &apos;s get together tomorrow .,i will be it . . _EOS,let &apos;s will get . . _EOS,-0.42857142857142855,0.14285714285714285,0.5714285714285714,-0.5,0.16666666666666666,0.6666666666666666,3.8117155973305907,11.099799413087618,7.288083815757028
367,今 私 たち に 必要 な の は 休息 で す 。,what we need now is a rest .,we are is _UNK our _UNK . _EOS,we are is a _UNK . . _EOS,-0.125,0.375,0.5,-0.125,0.375,0.5,-2.9043535782884504,26.55297458693701,29.457328165225462
378,彼 は 金持ち で あ る よう に 思 わ れ る 。,he seems to be rich .,he is a he he the . . _EOS,he is to to to he . . _EOS,-0.1111111111111111,0.2222222222222222,0.3333333333333333,-0.16666666666666669,0.3333333333333333,0.5,1.2303822942295568,25.644998298374034,24.414616004144477
387,背後 に 見え隠れ する の は 近年 の 不 動産 不況 だ 。,what slips in and out of view in the background is the real estate slump of recent years .,i _UNK _UNK to _UNK _UNK _UNK _UNK _UNK _UNK . . _EOS,_UNK _UNK _UNK _UNK in _UNK in _UNK _UNK . . _EOS,-0.17307692307692307,0.07692307692307693,0.25,-0.10526315789473684,0.05263157894736842,0.15789473684210525,13.69857068920571,52.15091870877016,38.452348019564454
402,銀河 系 に は 無数 の 星 が あ る 。,there are innumerable stars in the galaxy .,_UNK is a _UNK _UNK _UNK _UNK . . _EOS,there is a _UNK in the the . . _EOS,-0.30000000000000004,0.1,0.4,-0.375,0.125,0.5,0.9235418704777132,8.900373098002936,7.9768312275252224
409,雪 は 月曜 から 金曜 まで 降 っ た 。,it snowed from monday to friday .,the _UNK a a _UNK the . . _EOS,we _UNK _UNK the from the . . _EOS,-0.1111111111111111,0.1111111111111111,0.2222222222222222,-0.14285714285714285,0.14285714285714285,0.2857142857142857,9.720897578568675,46.448744092923384,36.72784651435471
412,あなた は 彼女 が 帰 っ て くる の を 待ち さえ すれ ば よ い 。,you have only to wait for her return .,she will she she her her her her . . _EOS,you you like to to her her her . . _EOS,-0.18181818181818185,0.18181818181818185,0.3636363636363637,-0.2222222222222222,0.2222222222222222,0.4444444444444444,5.548323556637973,21.453000996868788,15.904677440230815
414,ポール は 学校 で 飛び抜け て 魅力 の あ る 生徒 だ 。,paul is by far the most charming boy in our school .,the is _UNK _UNK _UNK _UNK _UNK . . _EOS,the is a in in in school . . _EOS,-0.2,0.3,0.5,-0.16666666666666669,0.25,0.4166666666666667,15.479130011565537,63.1928232622411,47.71369325067556
420,ジャネット が 昇進 する みたい よ 。,it looks like janet &apos;s going to be kicked upstairs .,"i _UNK , _UNK in . . _EOS",it &apos;s _UNK _UNK _UNK . . . _EOS,-0.20833333333333331,0.125,0.3333333333333333,-0.18181818181818177,0.09090909090909093,0.2727272727272727,41.34298978512412,96.61568854110659,55.272698755982475
428,彼 は ドア が すべて 安全 に 閉ま っ て い る か どう か 確かめ た 。,he checked that all the doors were safely shut .,he was the in the the the _EOS,he was that that that the the the . . _EOS,-0.1136363636363637,0.25,0.3636363636363637,-0.2,0.2,0.4,23.065634926053264,55.65781115536033,32.592176229307064
432,私 は 疑い 深 い 性格 で す 。,i have a suspicious nature .,i &apos;m to my . . _EOS,i &apos;m a a . . _EOS,-0.14285714285714285,0.2857142857142857,0.42857142857142855,-0.16666666666666669,0.3333333333333333,0.5,6.195816314802464,25.216104681360196,19.020288366557732
454,バラ が 咲 い て い る 。,the roses are in bloom .,i are are _UNK . . _EOS,the are is . . _EOS,-0.2142857142857143,0.2857142857142857,0.5,-0.16666666666666669,0.3333333333333333,0.5,-0.8293038944687705,12.808650965650553,13.637954860119324
459,彼女 に 御 行儀 よ く し なさ い と いつ も 言 っ て い る 。,i &apos;m constantly telling her to behave herself .,she always always in in in in . . _EOS,she is a to her her her . . _EOS,-0.19999999999999998,0.1,0.3,-0.2222222222222222,0.1111111111111111,0.3333333333333333,19.857897694514847,53.96585269454582,34.10795500003098
462,しかし 、 主人 公 は 自ら の 誤り に 気づ い て い る 。,however the protagonist is aware of his own mistakes .,_UNK _UNK _UNK _UNK _UNK _UNK _UNK _UNK . . _EOS,the is is in in the the the . . _EOS,-0.18181818181818177,0.09090909090909093,0.2727272727272727,-0.19999999999999998,0.1,0.3,-14.805650365151813,35.80876808816805,50.614418453319864
463,私 は 彼 の 態度 に 我慢 でき な い 。,i cannot abide his manner .,i don &apos;t him to . . _EOS,i can &apos;t him his . . _EOS,-0.125,0.25,0.375,-0.16666666666666669,0.3333333333333333,0.5,7.264310825933336,35.765381946542895,28.50107112060956
480,もっと 分別 が あ っ て も い い 年頃 だ よ 。,you &apos;re old enough to know better .,"i &apos;m , , , i i . . _EOS","i , , , you you . . _EOS",-0.1222222222222222,0.1,0.2222222222222222,-0.125,0.125,0.25,9.552405708106292,43.93931203404765,34.38690632594136
493,貴方 は 、 明日 学校 に 行 く だ ろ う 。,you &apos;ll go to school tomorrow .,the will will be to the . . _EOS,we will go to go school . . _EOS,-0.2222222222222222,0.2222222222222222,0.4444444444444444,-0.2857142857142857,0.2857142857142857,0.5714285714285714,8.356657896874886,13.779796558111686,5.423138661236801
494,この データ は その 議論 に と っ て 重要 だ 。,this data is immaterial to the argument .,this is is the in in . . . _EOS,this is is to the the . . _EOS,-0.15555555555555556,0.4,0.5555555555555556,-0.125,0.5,0.625,1.0767245718037675,14.555449438099412,13.478724866295645
495,彼女 と は よく 会 い ま す か 。,do you see her often ?,do you think you ? ? ? _EOS,do you you her she ? ? _EOS,-0.125,0.375,0.5,-0.16666666666666663,0.5,0.6666666666666666,-0.5056135273831401,11.131767830936404,11.637381358319544
